path,score,label,detector,mode
/content/Image-Deepfake-Detectors-Public-Library/demo_images/PreSocial/Real/FORLAB/images/00012.jpg,-6.962260723114014,0.0,CLIP-D,img2img
/content/Image-Deepfake-Detectors-Public-Library/demo_images/PreSocial/Real/FORLAB/images/00017.jpg,-8.770066261291504,0.0,CLIP-D,img2img
/content/Image-Deepfake-Detectors-Public-Library/demo_images/PreSocial/Real/FORLAB/images/00032.jpg,-6.799628257751465,0.0,CLIP-D,img2img
/content/Image-Deepfake-Detectors-Public-Library/demo_images/PreSocial/Real/FORLAB/images/00047.jpg,-1.852548599243164,0.0,CLIP-D,img2img
/content/Image-Deepfake-Detectors-Public-Library/demo_images/PreSocial/Real/FORLAB/images/00048.jpg,-10.619352340698242,0.0,CLIP-D,img2img
/content/Image-Deepfake-Detectors-Public-Library/demo_images/PreSocial/Real/FORLAB/images/00061.jpg,-5.143555641174316,0.0,CLIP-D,img2img
/content/Image-Deepfake-Detectors-Public-Library/demo_images/PreSocial/Real/FORLAB/images/00072.jpg,-6.490646839141846,0.0,CLIP-D,img2img
/content/Image-Deepfake-Detectors-Public-Library/demo_images/PreSocial/Real/FORLAB/images/00073.jpg,-7.381748676300049,0.0,CLIP-D,img2img
/content/Image-Deepfake-Detectors-Public-Library/demo_images/PreSocial/Real/FORLAB/images/00080.jpg,-6.955107688903809,0.0,CLIP-D,img2img
/content/Image-Deepfake-Detectors-Public-Library/demo_images/PreSocial/Real/FORLAB/images/00096.jpg,-7.268871307373047,0.0,CLIP-D,img2img
/content/Image-Deepfake-Detectors-Public-Library/demo_images/PreSocial/Real/FORLAB/images/00101.jpg,-8.26632022857666,0.0,CLIP-D,img2img
/content/Image-Deepfake-Detectors-Public-Library/demo_images/PreSocial/Real/FORLAB/images/00104.jpg,-7.248632431030273,0.0,CLIP-D,img2img
/content/Image-Deepfake-Detectors-Public-Library/demo_images/PreSocial/Real/FORLAB/images/00107.jpg,-7.805061817169189,0.0,CLIP-D,img2img
/content/Image-Deepfake-Detectors-Public-Library/demo_images/PreSocial/Real/FORLAB/images/00113.jpg,-7.640810012817383,0.0,CLIP-D,img2img
